Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
1/28/21 20:37,390,7.8,0.02
1/28/21 20:39,391,7.82,0.02
1/28/21 20:40,392,7.84,0.02
1/28/21 20:42,393,7.86,0.02
1/28/21 20:43,394,7.88,0.02
1/28/21 20:44,395,7.9,0.02
1/28/21 20:46,396,7.92,0.02
1/28/21 20:47,397,7.94,0.02
1/28/21 20:49,398,7.96,0.02
1/28/21 20:50,399,7.98,0.02
1/28/21 20:51,400,8,0.02
1/28/21 20:53,401,8.02,0.02
1/28/21 20:54,402,8.04,0.02
1/28/21 20:56,403,8.06,0.02
1/28/21 20:57,404,8.08,0.02
1/28/21 20:58,405,8.1,0.02
1/28/21 20:59,406,8.12,0.02
1/28/21 21:00,407,8.14,0.02
1/28/21 21:02,408,8.16,0.02
1/28/21 21:04,409,8.18,0.02
1/28/21 21:05,410,8.2,0.02
1/28/21 21:06,411,8.22,0.02
1/28/21 21:08,412,8.24,0.02
1/28/21 21:10,413,8.26,0.02
1/28/21 21:12,414,8.28,0.02
1/28/21 21:14,415,8.3,0.02
1/28/21 21:16,416,8.32,0.02
1/28/21 21:17,417,8.34,0.02
1/28/21 21:19,418,8.36,0.02
1/28/21 21:21,419,8.38,0.02
1/28/21 21:24,420,8.4,0.02
1/28/21 21:27,421,8.42,0.02
1/28/21 21:29,422,8.44,0.02
1/28/21 21:30,423,8.46,0.02
1/28/21 21:31,424,8.48,0.02
1/28/21 21:33,425,8.5,0.02
1/28/21 21:34,426,8.52,0.02
1/28/21 21:36,427,8.54,0.02
1/28/21 21:37,428,8.56,0.02
1/28/21 21:38,429,8.58,0.02
1/28/21 21:38,430,8.6,0.02
1/28/21 21:39,431,8.62,0.02
1/28/21 21:39,432,8.64,0.02
1/28/21 21:40,433,8.66,0.02
1/28/21 21:41,434,8.68,0.02
1/28/21 21:42,435,8.7,0.02
1/28/21 21:43,436,8.72,0.02
1/28/21 21:44,437,8.74,0.02
1/28/21 21:46,438,8.76,0.02
1/28/21 21:47,439,8.78,0.02
1/28/21 21:49,440,8.8,0.02
1/28/21 21:51,441,8.82,0.02
1/28/21 21:52,442,8.84,0.02
1/28/21 21:54,443,8.86,0.02
1/28/21 21:56,444,8.88,0.02
1/28/21 21:58,445,8.9,0.02
1/28/21 22:00,446,8.92,0.02
1/28/21 22:01,447,8.94,0.02
1/28/21 22:04,448,8.96,0.02
1/28/21 22:07,449,8.98,0.02
1/28/21 22:09,450,9,0.02
1/28/21 22:11,451,9.02,0.02
